"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","—","—","—","—","—"
"candor-modelcitizen",,"Vzorový občan",,,,"11:49 05/09/2022"
"starch-sugardaddy",,"Cukrový tatínek",,,,"11:49 05/09/2022"
"kensington-spartaninsuranceschemes",,"Spartánské pojištění",,,,"11:49 05/09/2022"
"blackmarket-infiltrator",,"Infiltrátor",,,,"11:49 05/09/2022"
"blackmarket-interceptor",,"Přepadení",,,,"11:49 05/09/2022"
"blackmarket-trespasser",,"Nezvaný host",,,,"11:49 05/09/2022"
"candor-cartographer",,"Kartograf",,,,"11:49 05/09/2022"
"candor-community",,"Komunita",,,,"11:49 05/09/2022"
"candor-publicservice",,"Veřejná služba",,,,"11:49 05/09/2022"
"elgen-beauty",,"Krása",,,,"11:49 05/09/2022"
"elgen-constitution",,"Ústava",,,,"11:49 05/09/2022"
"elgen-frame",,"Rám",,,,"11:49 05/09/2022"
"elgen-physique",,"Postava",,,,"11:49 05/09/2022"
"elgen-tenacity",,"Vytrvalost",,,,"11:49 05/09/2022"
"elgen-vigor",,"Síla",,,,"11:49 05/09/2022"
"kaizen-V-Loveplus",,"V-Láska+",,,,"11:49 05/09/2022"
"kensington-ambassadorscheme",,"Program velvyslanců",,,,"11:49 05/09/2022"
"starch-brandambassador",,"Ambasador značky Starch",,,,"11:49 05/09/2022"
"increase time citizens are knocked out by |value%|%",,"Prodlužte dobu, po kterou jsou občané v bezvědomí, o |value%|%",,,,"11:49 05/09/2022"
"or",,"NEBO",,,,"11:49 05/09/2022"
"increase time security systems are disabled by breaker switches by |value%|%",,"Prodlužte dobu, po kterou jsou bezpečnostní systémy vypnuty jističi, o |value%|%",,,,"11:49 05/09/2022"
"gain |city.currency||value| for tying address information to citizen names",,"Získejte |city.currency||value| za propojení adresních informací se jmény občanů",,,,"11:49 05/09/2022"
"gain |city.currency||value| for gathering citizen passcodes",,"Získejte |city.currency||value| za sběr občanských kódů",,,,"11:49 05/09/2022"
"increase speed of lockpicking by |value%|%",,"Zvyšte rychlost páčení zámků o |value%|%",,,,"11:49 05/09/2022"
"increase efficiency of lockpicking by |value%|%, resulting in needing fewer lockpicks",,"Zvyšte efektivitu páčení zámků o |value%|%, což vede k potřebě méně paklíčů",,,,"11:49 05/09/2022"
"entering the lockpicking stance only no longer counts as an illegal action",,"Vstup do pozice pro páčení zámků se již nepovažuje za nezákonnou činnost (samotné páčení zámků je stále nezákonné)",,,,"11:49 09/04/2024"
"recieve |city.currecy||value| for exploring new locations",,"Získejte |city.currency||value| za prozkoumávání nových lokací",,,,"11:49 05/09/2022"
"recieve |city.currecy||value| for exploring ventilation ducts",,"Získejte |city.currency||value| za prozkoumávání ventilačních šachet",,,,"11:49 05/09/2022"
"recieve |value%|% more money for completing side jobs",,"Získejte o |value%|% více peněz za plnění vedlejších úkolů",,,,"11:49 05/09/2022"
"increase inventory capacity by |value|",,"Zvyšte kapacitu inventáře o |value|",,,,"11:49 05/09/2022"
"earn |city.currency||value| for each item of trash disposed in refuse containers around the city",,"Získejte |city.currency||value| za každou položku odpadu uloženou do kontejnerů na odpadky po městě",,,,"11:49 05/09/2022"
"earn |city.currency||value| for each unique book read",,"Získejte |city.currency||value| za každou přečtenou jedinečnou knihu",,,,"11:49 05/09/2022"
"earn up to |city.currency||value| for photographs of restaurant kitchens. value decreases with hygeine level, max 1 photo per company per day.",,"Získejte až |city.currency||value| za fotografie kuchyní restaurací. Hodnota klesá s úrovní hygieny, max. 1 fotografie na společnost denně.",,,,"11:49 05/09/2022"
"earn up to |city.currency||value| for photographs of business bathrooms. value decreases with hygeine level, max 1 photo per company per day.",,"Získejte až |city.currency||value| za fotografie firemních koupelen. Hodnota klesá s úrovní hygieny, max. 1 fotografie na společnost denně.",,,,"11:49 05/09/2022"
"receive a |value%|% discount on all shop items",,"Získejte |value%|% slevu na všechny položky v obchodě",,,,"11:49 05/09/2022"
"citizens are |value%|% more likely to share information for free",,"Občané mají o |value%|% větší pravděpodobnost, že budou sdílet informace zdarma",,,,"11:49 05/09/2022"
"you can now no longer get cold",,"Už vám nebude zima",,,,"11:49 05/09/2022"
"alter height by |value%|%",,"Změňte výšku o |value%|%",,,,"11:49 05/09/2022"
"increase maximum health by |value%|%",,"Zvyšte maximální zdraví o |value%|%",,,,"11:49 05/09/2022"
"increase power of punches by |value%|%",,"Zvyšte sílu úderů o |value%|%",,,,"11:49 05/09/2022"
"increase throwing power by |value%|%",,"Zvyšte sílu hodu o |value%|%",,,,"11:49 05/09/2022"
"when taking damage, the first impact's damage is negated",,"Při obdržení poškození je poškození prvního nárazu zrušeno",,,,"11:49 05/09/2022"
"barging doors now always takes only one attempt",,"Vloupání do dveří nyní vždy vyžaduje pouze jeden pokus",,,,"11:49 05/09/2022"
"remove all fall damage",,"Odstraňte veškeré poškození z pádu",,,,"11:49 05/09/2022"
"an advanced visual id system linked to an external citizen database allows aqusition of personal data to be exactacted from citizen mugshots. you will now know exact citizen height from photo data.",,"Pokročilý systém vizuální identifikace propojený s externí databází občanů umožňuje získání osobních údajů z fotografií občanů. Nyní budete znát přesnou výšku občana z fotografických dat.",,,,"11:49 05/09/2022"
"an advanced visual id system linked to an external citizen database allows aqusition of personal data to be exactacted from citizen mugshots. you will now know citizen salary from photo data.",,"Pokročilý systém vizuální identifikace propojený s externí databází občanů umožňuje získání osobních údajů z fotografií občanů. Nyní budete znát plat občana z fotografických dat.",,,,"11:49 05/09/2022"
"gain a passive income of |city.currency||value| every 2 hours",,"Získejte pasivní příjem |city.currency||value| každé 2 hodiny",,,,"11:49 05/09/2022"
"gain |city.currency||value| by installing data mining software on crunchers.",,"Získejte |city.currency||value| instalací softwaru pro dolování dat na crunchery.",,,,"11:49 05/09/2022"
"medical care is now covered; reduce medical costs from involuntary hospital visits by |value%|%.",,"Lékařská péče je nyní hrazena; snižte náklady na lékařskou péči z nedobrovolných návštěv nemocnic o |value%|%.",,,,"11:49 05/09/2022"
"legal fees are now covered; you will not lose any stolen items you may possess upon involuntary hospital visits with a value of up to |city.currency||value|.",,"Právní poplatky jsou nyní hrazeny; při nedobrovolných návštěvách nemocnic neztratíte žádné odcizené předměty v hodnotě až |city.currency||value|.",,,,"11:49 05/09/2022"
"suffered from an accident that was not your fault? covers medical costs and credits |city.currency||value| to your account for an involuntary hospital visit. maximum payout once per day.",,"Trpěli jste nehodou, za kterou jste nenesli vinu? Pokrývá léčebné náklady a připisuje |city.currency||value| na váš účet za nedobrovolnou návštěvu nemocnice. Maximální výplata jednou denně.",,,,"11:49 05/09/2022"
"gain |city.currency||value| for telling someone about starch kola products, based on their response",,"Získejte |city.currency||value| za to, že někomu řeknete o produktech Starch Kola, na základě jeho reakce",,,,"11:49 05/09/2022"
"gain |city.currency||value| for giving citizens starch kola products",,"Získejte |city.currency||value| za dávání občanům produktů Starch Kola",,,,"11:49 05/09/2022"
"a one-off payment of |city.currency||value| will be credited to your account. disclaimer: uninstall cost is |city.currency||uninstallcost|. consumption of starch kola products will reduce the uninstall cost by |city.currency|5, consumption of competitor products will increase it by |city.currency|1.",,"Jednorázová platba |city.currency||value| bude připsána na váš účet. Upozornění: Náklady na odinstalaci jsou |city.currency||uninstallcost|. Konzumace produktů Starch Kola sníží náklady na odinstalaci o |city.currency|5, konzumace konkurenčních produktů je zvýší o |city.currency|1.",,,,"11:49 05/09/2022"
"spread the word!",,"Šiřte to!",,,,"11:49 05/09/2022"
"increase money gained by |city.currency||upgradevalue|",,"Zvyšte získané peníze o |city.currency||upgradevalue|",,,,"11:49 05/09/2022"
"put some life into it!",,"Dejte do toho život!",,,,"11:49 05/09/2022"
"lockpicker",,"Zámečník",,,,"11:49 05/09/2022"
"resourceful",,"Vynalézavý",,,,"11:49 05/09/2022"
"invisible",,"Neviditelný",,,,"11:49 05/09/2022"
"allure",,"Přitažlivost",,,,"11:49 05/09/2022"
"receive a further |upgradevalue%|% discount on all shop items",,"Získejte další slevu |upgradevalue%|% na všechny položky v obchodě",,,,"11:49 05/09/2022"
"charm",,"Šarm",,,,"11:49 05/09/2022"
"citizens are a further |upgradevalue%|% more likely to share information for free",,"Občané mají o dalších |upgradevalue%|% větší pravděpodobnost, že budou sdílet informace zdarma",,,,"11:49 05/09/2022"
"invasion of privacy means citizens are 25% less likely to share information for free",,"Narušení soukromí znamená, že občané mají o 25% menší pravděpodobnost, že budou sdílet informace zdarma",,,,"11:49 05/09/2022"
"physiological perception",,"Fyziologické vnímání",,,,"11:49 05/09/2022"
"you will now know citizen age from photo data",,"Nyní budete znát věk občana z fotografických dat",,,,"11:49 05/09/2022"
"socioeconomic perception",,"Socioekonomické vnímání",,,,"11:49 05/09/2022"
"you will now know citizen relationship status from looking at them",,"Nyní budete znát rodinný stav občana, když se na něj podíváte",,,,"11:49 05/09/2022"
"you will now know citizen shoe size from photo data",,"Nyní budete znát velikost bot občana z fotografických dat",,,,"11:49 05/09/2022"
"you will now know how much money a citizen is carrying by looking at them",,"Nyní budete vědět, kolik peněz občan nese, když se na něj podíváte",,,,"11:49 05/09/2022"
"remove the side effect from this disk",,"Odstraňte vedlejší efekt z tohoto disku",,,,"11:49 05/09/2022"
"upgrade",,"Vylepšení",,,,"11:49 05/09/2022"
"side effect",,"Vedlejší efekt",,,,"11:49 05/09/2022"
"urbex cartographer",,"Urbex kartograf",,,,"11:49 05/09/2022"
"crawlspace engineer",,"Inženýr prolezů",,,,"11:49 05/09/2022"
"cash flow",,"Peněžní tok",,,,"11:49 05/09/2022"
"increase passive income by a further |city.currency||upgradevalue|",,"Zvyšte pasivní příjem o dalších |city.currency||upgradevalue|",,,,"11:49 05/09/2022"
"competitor data mining",,"Dolování dat konkurence",,,,"11:49 05/09/2022"
"receive double income for installing software on business owner crunchers at their workplace",,"Získejte dvojnásobný příjem za instalaci softwaru na crunchery majitelů firem na jejich pracovišti",,,,"11:49 05/09/2022"
"increase money gained by data mining installs by a further |upgradevalue|",,"Zvyšte získané peníze z instalací pro dolování dat o dalších |upgradevalue|",,,,"11:49 05/09/2022"
"food hygeine inspector",,"Inspektor hygieny potravin",,,,"11:49 05/09/2022"
"increase max cash gained by |city.currency||upgradevalue|",,"Zvyšte maximální získané peníze o |city.currency||upgradevalue|",,,,"11:49 05/09/2022"
"sanitary hygeine inspector",,"Inspektor sanitární hygieny",,,,"11:49 05/09/2022"
"gold medical cover",,"Zlaté zdravotní krytí",,,,"11:49 05/09/2022"
"hospital care is now free",,"Nemocniční péče je nyní zdarma",,,,"11:49 05/09/2022"
"gold legal cover",,"Zlaté právní krytí",,,,"11:49 05/09/2022"
"increase stolen item value cover by |city.currency||upgradevalue|",,"Zvyšte krytí hodnoty odcizených předmětů o |city.currency||upgradevalue|",,,,"11:49 05/09/2022"
"gold accident cover",,"Zlaté úrazové pojištění",,,,"11:49 05/09/2022"
"increased payout gained from accidents by |city.currency||upgradevalue|",,"Zvýšená výplata získaná z nehod o |city.currency||upgradevalue|",,,,"11:49 05/09/2022"
"wake up in your own bed after being kncoked out, if available",,"Po probuzení z bezvědomí se probuďte ve vlastní posteli, pokud je k dispozici",,,,"11:49 05/09/2022"
"power",,"Síla",,,,"11:49 05/09/2022"
"stability",,"Stabilita",,,,"11:49 05/09/2022"
"clout",,"Vliv",,,,"11:49 05/09/2022"
"it is no longer possible to get the 'bleeding' status effect",,"Již není možné získat stav 'krvácení'",,,,"11:49 05/09/2022"
"brawn",,"Svaly",,,,"11:49 05/09/2022"
"improve reach by |upgradevalue%|%",,"Zlepšete dosah o |upgradevalue%|%",,,,"11:49 05/09/2022"
"reflexes",,"Reflexy",,,,"11:49 05/09/2022"
"taking damage gives you the 'focused' status effect",,"Obdržení poškození vám dává stav 'soustředění'",,,,"11:49 05/09/2022"
"increase power of punches by a further |upgradevalue%|%",,"Zvyšte sílu úderů o dalších |upgradevalue%|%",,,,"11:49 05/09/2022"
"further increase throwing power by |upgradevalue%|%",,"Dále zvyšte sílu hodu o |upgradevalue%|%",,,,"11:49 05/09/2022"
"it is no longer possible to get broken bones or become bruised",,"Již není možné mít zlomené kosti nebo modřiny",,,,"11:49 05/09/2022"
"increase the perceived threat of raising your fists in combat by |upgradevalue%|%",,"Zvyšte vnímanou hrozbu zvednutí pěstí v boji o |upgradevalue%|%",,,,"11:49 05/09/2022"
"holding objects infront of you can block |upgradevalue%|% of damage from incoming bullets",,"Držení předmětů před vámi může blokovat |upgradevalue%|% poškození z příchozích kulek",,,,"11:49 05/09/2022"
"take |value%|% damage from all sources",,"Obdržíte |upgradevalue%|% poškození ze všech zdrojů",,,,"11:49 05/09/2022"
"chemistry",,"Chemie",,,,"11:49 05/09/2022"
"you can now no longer get smelly",,"Už nebudete smrdět",,,,"11:49 05/09/2022"
"cardiovascular",,"Kardiovaskulární",,,,"11:49 05/09/2022"
"increase inventory capacity by |upgradevalue|",,"Zvyšte kapacitu inventáře o |upgradevalue|",,,,"11:49 05/09/2022"
"you can now no longer get tired",,"Už se nebudete unavovat",,,,"11:49 05/09/2022"
"fortitude",,"Odolnost",,,,"11:49 05/09/2022"
