"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"key",,"Získán klíč pro",,,,"11:49 05/09/2022"
"tutorial_notebook",,"Nápovědu ke hře můžete kdykoli otevřít pomocí |controls.notebook|",,,,"11:49 05/09/2022"
"lockpicks",,"Páčidlo(a)",,,,"11:49 05/09/2022"
"lockpick_deplete",,"Zbývá páčidlo(a)...",,,,"11:49 05/09/2022"
"not_enough_lockpicks",,"Nemáte žádná páčidla!",,,,"11:49 05/09/2022"
"lockpick_success",,"Úspěšné odemknutí!",,,,"11:49 05/09/2022"
"taken_fingerprint",,"Otisk prstu odebrán",,,,"11:49 05/09/2022"
"corpsabotage_fail",,"Sabotáž selhala: Již jste zde nainstalovali keylogger!",,,,"11:49 05/09/2022"
"codebreaker success",,"Codebreaker úspěch!",,,,"11:49 05/09/2022"
"telephone engaged",,"Telefon je obsazen. Zkuste to později...",,,,"11:49 05/09/2022"
"linked unique information",,"Aktualizace profilu",,,,"11:49 05/09/2022"
"name",,"Jméno",,,,"11:49 05/09/2022"
"image/likeness",,"Obrázek/Podobnost",,,,"11:49 05/09/2022"
"fingerprint",,"Otisk prstu",,,,"11:49 05/09/2022"
"new tutorial section",,"Nová sekce tutoriálu",,,,"11:49 05/09/2022"
"inventory full",,"Inventář plný! Něco vyhoďte, abyste to mohli sebrat...",,,,"11:49 05/09/2022"
"passcode",,"Heslo získáno",,,,"11:49 05/09/2022"
"ko",,"Omdlel(a) jste... Brzy se probudíte...",,,,"11:49 05/09/2022"
"added to inventory",,"Přidáno do inventáře",,,,"11:49 05/09/2022"
"telephone",,"Telefonní číslo získáno",,,,"11:49 05/09/2022"
"closing time",,"Zavírací doba",,,,"11:49 05/09/2022"
"collected handin",,"Nasbíraný formulář",,,,"11:49 05/09/2022"
"case submitted",,"Případ předán ke zpracování. Vyčkejte na výsledky.",,,,"11:49 05/09/2022"
"case unsolved",,"Případ zůstává nevyřešený, zkuste to prosím znovu...",,,,"11:49 05/09/2022"
"case completed",,"Vyřešeno",,,,"11:49 05/09/2022"
"tip-changelead",,"Tip: Vedoucího můžete kdykoli změnit pomocí tlačítka ve formuláři pro řešení případu.",,,,"11:49 05/09/2022"
"suspect released",,"Podezřelý propuštěn",,,,"11:49 05/09/2022"
"suspect convicted",,"Podezřelý usvědčen",,,,"11:49 05/09/2022"
"new enforcer call",,"[Skener] Hlášená vražda",,,,"11:49 05/09/2022"
"corpsabotage_success",,"Úspěch",,,,"11:49 05/09/2022"
"somebody is coming to answer the door...",,"Někdo jde otevřít dveře...",,,,"11:49 05/09/2022"
"job information updated!",,"Informace o práci aktualizovány!",,,,"11:49 05/09/2022"
"linked to",,"Propojeno s",,,,"11:49 05/09/2022"
"new information",,"Nové informace",,,,"11:49 05/09/2022"
"you can open your case board at any time by pressing f",,"Desku s případem můžete kdykoli otevřít stisknutím |controls.caseboard|",,,,"11:49 05/09/2022"
"the demo timer starts now...",,"Časovač dema začíná teď...",,,,"11:49 05/09/2022"
"corpsabotage_success_bonus",,"Bonus za vlastnictví",,,,"11:49 05/09/2022"
"case closed",,"Případ uzavřen",,,,"11:49 05/09/2022"
"unsolved",,"Nevyřešeno",,,,"11:49 05/09/2022"
"social credit score",,"Sociální kreditní skóre",,,,"11:49 05/09/2022"
"new murder case",,"Nový případ vraždy",,,,"11:49 05/09/2022"
"case opened",,"Případ otevřen",,,,"11:49 05/09/2022"
"the case of the ",,"Případ ",,,,"11:49 05/09/2022"
"movement alert",,"Upozornění na pohyb",,,,"11:49 05/09/2022"
"tracking citizen...",,"Sledování občana...",,,,"11:49 05/09/2022"
"social credit level up",,"Zvýšení úrovně sociálního kreditu",,,,"11:49 05/09/2022"
"gained social credit",,"Získán sociální kredit",,,,"11:49 05/09/2022"
"social credit",,"Sociální kredit",,,,"11:49 05/09/2022"
"job failed",,"Práce selhala",,,,"11:49 05/09/2022"
"locked_help",,"Zamčeno! Pro možnosti interagujte s klikou dveří...",,,,"16:12 05/10/2022"
"locked",,"Zamčeno!",,,,"16:12 05/10/2022"
"look at the target object to progress the action",,"Podívejte se na cílový objekt pro pokračování akce",,,,"16:35 05/10/2022"
"nobody_home",,"Pokud nikdo není doma, možná se budete muset vrátit později (nebo je najít)...",,,,"11:52 24/10/2022"
"unable to save at this time",,"Nelze uložit v tuto chvíli",,,,"10:04 29/11/2022"
"game saved",,"Hra uložena",,,,"10:12 29/11/2022"
"fingerprint_prompt",,"Prozkoumejte otisky prstů po skenování pomocí |controls.secondary|",,,,"14:58 03/02/2023"
"not_enough_money",,"Nemáte dostatek peněz!",,,,"14:43 15/02/2023"
"you have acquired information about residents of: ",,"Získali jste informace o obyvatelích: ",,,,"14:18 28/03/2023"
"new apartment",,"Nový byt",,,,"15:53 09/05/2023"
"hotel_kickout1",,"Byli jste vyhozeni z hotelového pokoje za nezaplacení účtu!",,,,"16:06 17/08/2023"
"hotel_kickout2",,"...Možná byste se měli hotelu na chvíli vyhnout...",,,,"16:06 17/08/2023"
"you died",,"Zemřel(a) jste",,,,"16:06 15/11/2023"
"coverup_success",,"Zatajení úspěšné!",,,,"16:40 21/03/2024"
"coverup_fail",,"Zatajení selhalo!",,,,"12:45 22/03/2024"
"coverup_bodyseen",,"Tělo bylo spatřeno! Nenechte je zavolat strážníky!",,,,"16:52 22/03/2024"
"new enforcer call kidnapping",,"Nová pohřešovaná osoba",,,,"16:07 28/03/2024"
"new kidnapping case","","Nový případ únosu",,,,"15:52 29/03/2024"
