"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"—","—","—","—","—","—","—"
"hardevidence",,"Poskytněte důkazy o nevěře",,,,"11:49 05/09/2022"
"cheatersname",,"Objevte celé jméno partnerova milence",,,,"11:49 05/09/2022"
"investigateaffair",,"Vyšetřete nevěru",,,,"11:49 05/09/2022"
"handin",,"Předložte důkazy: Zavolejte |poster.home.telephone| nebo najděte zadavatele osobně",,,,"11:49 05/09/2022"
"corporatesabotage",,"Firemní sabotáž",,,,"11:49 05/09/2022"
"sabotagerecoverinfo",,"Najděte obálku s červenou pečetí: Patří někomu v |purp.job.employer.name| se jménem začínajícím na '|purp.initial|'",,,,"11:49 05/09/2022"
"provide the requested item",,"Poskytněte požadovanou položku",,,,"11:49 05/09/2022"
"can you provide evidence of infidelity?",,"Můžete poskytnout důkazy o nevěře?",,,,"11:49 05/09/2022"
"where does the cheater live?",,"Kde bydlí podvodník?",,,,"11:49 05/09/2022"
"optional",,"Volitelné",,,,"11:49 05/09/2022"
"what is the full name of the killer?",,"Jaké je celé jméno vraha?",,,,"11:49 05/09/2022"
"have you arrested the killer? if so, what is their present location?",,"Zatknuli jste vraha? Pokud ano, jaké je jeho současné umístění?",,,,"11:49 05/09/2022"
"where does the killer live?",,"Kde bydlí vrah?",,,,"11:49 05/09/2022"
"if applicable, who is the killer's next target?",,"Pokud je to relevantní, kdo je další oběť vraha?",,,,"11:49 05/09/2022"
"have you located the murder weapon?",,"Našli jste konkrétní vražednou zbraň?",,,,"11:49 19/04/2024"
"reward",,"Odměna",,,,"11:49 05/09/2022"
"penalty",,"Pokuta",,,,"11:49 05/09/2022"
"do you have evidence that places the killer at a crime scene?",,"Máte důkazy, které umisťují vraha na místo činu? (Identifikované otisky prstů nebo fotografické důkazy)",,,,"11:49 19/04/2024"
"complete the hand in form",,"Vyplňte otázky ve formuláři pro vyřešení",,,,"11:49 05/09/2022"
"who is the poster's partner cheating with?",,"S kým podvádí partner zadavatele?",,,,"11:49 05/09/2022"
"submit case",,"Předložit případ na radnici",,,,"11:49 05/09/2022"
"case processing",,"Zpracování případu...",,,,"11:49 05/09/2022"
"collect hand in",,"Vyzvedněte si formulář pro vyřešení případu na radnici",,,,"11:49 29/03/2024"
"explore reported crime scene",,"Prozkoumejte hlášené místo činu: ",,,,"11:49 05/01/2023"
"have you located the stolen item?",,"Našli jste odcizený předmět?",,,,"11:49 05/09/2022"
"stolenitem",,"Odcizený předmět",,,,"11:49 05/09/2022"
"who stole my |stolenitem.name|?",,"Kdo mi ukradl |stolenitem.name|?",,,,"11:49 05/09/2022"
"uncover evidence as to the whereabouts of |purp.name|",,"Odhalte důkazy o tom, kde se nachází |purp.name|",,,,"11:49 05/09/2022"
"uncover evidence as to why they are missing",,"Odhalte důkazy, proč chybí",,,,"11:49 05/09/2022"
"where was the last known whereabouts of |purp.name|?",,"Kde bylo naposledy známo, že se |purp.name| nachází?",,,,"11:49 05/09/2022"
"missingperson",,"Pohřešovaná osoba",,,,"11:49 05/09/2022"
"submit case sidejob",,"Pro závěr, vložte zjištění pod dveře na |submission.name|",,,,"11:49 05/09/2022"
"vandalismfindhomeaddress",,"Vandalismus",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at |purp.home.name|.",,"Způsobte vandalismus za Cr|revengeamount| na |purp.home.name|",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at the home of |purp.name|.",,"Způsobte vandalismus za Cr|revengeamount| v domě |purp.name|",,,,"11:49 05/09/2022"
"where does |purp.name| live?",,"Kde bydlí |purp.name|?",,,,"11:49 05/09/2022"
"take a photo of the damage",,"Vyfoťte poškození",,,,"11:49 05/09/2022"
"vandalismhome_d2a",,"Vandalismus",,,,"11:49 05/09/2022"
"where does the target live?",,"Kde bydlí pachatel?",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at the home of the target.",,"Způsobte vandalismus za Cr|revengeamount| v domě pachatele",,,,"11:49 05/09/2022"
"kick down the door of the target.",,"Vyrazte dveře pachateli",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at the home of the target by filling it with trash.",,"Způsobte vandalismus za Cr|revengeamount| v domě pachatele tím, že ho naplníte odpadky",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at the home of the target by breaking windows.",,"Způsobte vandalismus za Cr|revengeamount| v domě pachatele rozbitím oken",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at the home of |purp.name| by filling it with trash.",,"Způsobte vandalismus za Cr|revengeamount| v domě |purp.name| tím, že ho naplníte odpadky",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at |purp.home.name| by breaking windows.",,"Způsobte vandalismus za Cr|revengeamount| na |purp.home.name| rozbitím oken",,,,"11:49 05/09/2022"
"kick down the door of |purp.name|.",,"Vyrazte dveře |purp.name|",,,,"11:49 05/09/2022"
"vandalism",,"Vandalismus",,,,"11:49 05/09/2022"
"humiliate",,"Ponížit",,,,"11:49 05/09/2022"
"throw some food in the face of |purp.name|.",,"Hoďte |purp.name| jídlo do obličeje",,,,"11:49 05/09/2022"
"take a photo of them",,"Vyfoťte je",,,,"11:49 05/09/2022"
"identify the target",,"Identifikujte pachatele",,,,"11:49 05/09/2022"
"photograph",,"Fotografie",,,,"11:49 05/09/2022"
"take a photo of the target",,"Vyfoťte pachatele",,,,"11:49 05/09/2022"
"ask staff",,"Zeptejte se zaměstnanců na |random.casualname|",,,,"11:49 05/09/2022"
"find dossier",,"Najděte a otevřete skrytou aktovku",,,,"11:49 23/03/2023"
"take a photo of |purp.name|",,"Vyfoťte |purp.name|",,,,"11:49 05/09/2022"
"call",,"Zavolejte |fakenumber|",,,,"11:49 05/09/2022"
"setup goose chase",,"Dostaňte se k telefonní budce na |callphone.location.name| v |calltime.time24|",,,,"11:49 05/09/2022"
"answer",,"Zvedněte telefon",,,,"11:49 05/09/2022"
"submit under door",,"Pro závěr, vložte zjištění pod dveře na |submission.name|",,,,"11:49 05/09/2022"
"setup meet",,"Promluvte si s osobou sedící s |meetitem| na |meet.location.name|",,,,"11:49 05/09/2022"
"open dossier",,"Otevřete aktovku",,,,"11:49 05/09/2022"
"has camera",,"Pořiďte si fotoaparát (z radnice nebo jinde)",,,,"11:49 05/09/2022"
"retrieveitem",,"Získat položku",,,,"11:49 05/09/2022"
"who is the partner of |poster.name| cheating with?",,"S kým podvádí partner |poster.name|?",,,,"11:49 05/09/2022"
"can you provide a photo of the cheater?",,"Můžete poskytnout fotografii podvodníka?",,,,"11:49 05/09/2022"
"throw some food in the face of the target.",,"Hoďte jídlo do obličeje pachateli",,,,"11:49 05/09/2022"
"submit to poster",,"Pro závěr, najděte |poster.name|",,,,"11:49 05/09/2022"
"theft",,"Krádež",,,,"11:49 05/09/2022"
"home meeting",,"Vyšetřete krádež na |poster.home.name|",,,,"11:49 05/09/2022"
"you cannot take your possessions with you to the retirement distict: please nominate a citizen to receive your possessions upon exit from the city.",,"Své věci si nemůžete vzít s sebou do důchodového obvodu: prosím, nominujte občana, který obdrží vaše věci po odchodu z města:",,,,"11:49 05/09/2022"
"please leave any additional comments below: ",,"Prosím, zanechte jakékoli další komentáře níže: ",,,,"11:49 05/09/2022"
"collect retirement form",,"Vyzvedněte si formulář pro odchod do důchodu na radnici",,,,"11:49 05/09/2022"
"stealbriefcase",,"Sledovat a získat",,,,"11:49 05/09/2022"
"find and tail the person with the briefcase",,"Najděte a sledujte osobu s aktovkou",,,,"11:49 05/09/2022"
"who does the mark give the briefcase to?",,"Komu cíl předá aktovku?",,,,"11:49 05/09/2022"
"provide photographic evidence of the recipient",,"Poskytněte fotografické důkazy o příjemci",,,,"11:49 05/09/2022"
"where does the exchange take place?",,"Kde se výměna odehrává?",,,,"11:49 05/09/2022"
"steal the briefcase",,"Ukradněte aktovku",,,,"11:49 05/09/2022"
"missed call",,"Zmeškaný hovor",,,,"11:49 05/09/2022"
"provide photographic evidence of the exchange",,"Poskytněte fotografické důkazy o výměně",,,,"11:49 05/09/2022"
"leave the briefcase near the |secretlocation|",,"Nechte aktovku poblíž |secretlocation|",,,,"11:49 05/09/2022"
"call |fakenumber|",,"Zavolejte |fakenumber|",,,,"11:49 05/09/2022"
"in the",,"v",,,,"11:49 05/09/2022"
"at",,"na",,,,"11:49 05/09/2022"
"briefcase has been opened",,"Aktovka byla otevřena",,,,"11:49 05/09/2022"
"briefcase was destroyed",,"Aktovka byla zničena",,,,"11:49 05/09/2022"
"destroy the briefcase by throwing it into the sea",,"Zničte aktovku vhozením do moře",,,,"11:49 05/09/2022"
"arrest",,"Zatknout",,,,"11:49 05/09/2022"
"indentify the suspect",,"Identifikujte podezřelého",,,,"11:49 05/09/2022"
"arrest the target",,"Zatkněte podezřelého",,,,"11:49 05/09/2022"
"has handcuffs",,"Pořiďte si pouta (z radnice nebo jinde)",,,,"11:49 05/09/2022"
"submit to city hall",,"Předložit radnici",,,,"11:49 05/09/2022"
"a rare sync disk",,"vzácný synchronizační disk",,,,"11:49 05/09/2022"
"pick up your reward cityhalldesk",,"Vyzvedněte si odměnu na stole na radnici",,,,"11:49 20/10/2022"
"pick up your reward",,"Vyzvedněte si odměnu",,,,"11:49 20/10/2022"
"recover my |stolenitem.name| and place it in my mailbox",,"Obnovte mé |stolenitem.name| a vložte jej do mé poštovní schránky",,,,"14:10 20/10/2022"
"arrest the killer",,"Zatkněte identifikovaného vraha",,,,"14:23 21/04/2024"
"locate and steal the item; |stolenitem.name|",,"Najděte a ukradněte předmět od cíle; |stolenitem.name|",,,,"16:07 07/11/2022"
"leave the item near the |secretlocation|",,"Nechte předmět poblíž |secretlocation|",,,,"16:07 07/11/2022"
"pick up your reward postersmailbox",,"Vyzvedněte si odměnu z poštovní schránky |poster.home.name|",,,,"16:52 07/11/2022"
"destroy the item by throwing it into the sea",,"Zničte předmět vhozením do moře",,,,"13:54 14/12/2022"
"callhandin",,"Zavolejte |fakenumber|",,,,"15:54 14/12/2022"
"an important item was destroyed!",,"Důležitá položka byla zničena!",,,,"17:07 14/12/2022"
"beat up the target.",,"Zmlaťte pachatele",,,,"11:59 09/01/2023"
"handcuff |purp.name|, leave them somewhere non-public.",,"Pouta na |purp.name|, nechte je někde mimo veřejnost",,,,"11:59 09/01/2023"
"handcuff the target, leave them somewhere non-public.",,"Pouta na pachatele, nechte je někde mimo veřejnost",,,,"11:59 09/01/2023"
"beat up |purp.name|.",,"Zmlaťte |purp.name|",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at |purp.home.name| by filling it with trash.",,"Způsobte vandalismus za Cr|revengeamount| na |purp.home.name| tím, že ho naplníte odpadky",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the home of the target by filling it with trash",,"Způsobte vandalismus za Cr|revengeamount| v domě pachatele tím, že ho naplníte odpadky",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at |purp.job.employer.location.name|.",,"Způsobte vandalismus za Cr|revengeamount| na |purp.job.employer.location.name|",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of |purp.name|.",,"Způsobte vandalismus za Cr|revengeamount| na pracovišti |purp.name|",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of the target.",,"Způsobte vandalismus za Cr|revengeamount| na pracovišti pachatele",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at |purp.job.employer.location.name| by filling it with trash.",,"Způsobte vandalismus za Cr|revengeamount| na |purp.job.employer.location.name| tím, že ho naplníte odpadky",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of |purp.name| by filling it with trash.",,"Způsobte vandalismus za Cr|revengeamount| na pracovišti |purp.name| tím, že ho naplníte odpadky",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of the target by filling it with trash",,"Způsobte vandalismus za Cr|revengeamount| na pracovišti pachatele tím, že ho naplníte odpadky",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at |purp.job.employer.location.name| by breaking windows.",,"Způsobte vandalismus za Cr|revengeamount| na |purp.job.employer.location.name| rozbitím oken",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of |purp.name| by breaking windows.",,"Způsobte vandalismus za Cr|revengeamount| na pracovišti |purp.name| rozbitím oken",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of the target by breaking windows.",,"Způsobte vandalismus za Cr|revengeamount| na pracovišti pachatele rozbitím oken.",,,,"11:59 09/01/2023"
"wait for the meeting to take place",,"Počkejte, až se uskuteční schůzka",,,,"12:13 21/03/2023"
"without anybody seeing, dispose of the body at: ",,"Aniž by někdo viděl, zbavte se těla na: ",,,,"15:08 20/03/2024"
"hint: you can dispose of a body by throwing it into the sea or a dumpster",,"Tip: Těla se můžete zbavit vhozením do moře nebo do popelnice",,,,"15:26 20/03/2024"
"examine the ransom note found at ",,"Prohlédněte si výkupné nalezené na: ",,,,"16:07 28/03/2024"
